record_ID,units_sold
212645,18.0
212646,22.0
212647,29.0
212648,27.0
212649,21.0
212653,27.0
212654,44.0
212657,15.0
212658,12.0
212661,171.0
212662,84.0
212663,47.0
212666,69.0
212667,74.0
212668,123.0
212671,45.0
212672,114.0
212673,65.0
212674,342.0
212675,21.0
212676,11.0
212677,83.0
212678,51.0
212679,34.0
212681,45.0
212682,91.0
212683,21.0
212686,87.0
212687,89.0
212688,23.0
212689,4.0
212691,20.0
212692,48.0
212693,34.0
212694,34.0
212695,35.0
212696,29.0
212697,84.0
212698,32.0
212699,130.0
212700,22.0
212701,18.0
212702,40.0
212703,50.0
212704,33.0
212705,26.0
212706,37.0
212707,46.0
212709,7.0
212710,14.0
212711,34.0
212712,35.0
212713,27.0
212716,23.0
212717,37.0
212718,18.0
212719,25.0
212721,80.0
212722,24.0
212723,99.0
212724,13.0
212725,10.0
212727,33.0
212728,62.0
212729,35.0
212731,41.0
212732,43.0
212734,6.0
212735,6.0
212736,11.0
212737,249.0
212738,213.0
212739,62.0
212740,18.0
212742,75.0
212743,97.0
212744,208.0
212748,237.0
212749,98.0
212750,451.0
212751,41.0
212752,23.0
212754,109.0
212755,81.0
212756,105.0
212757,51.0
212758,83.0
212759,132.0
212760,10.0
212761,68.0
212763,13.0
212764,105.0
212765,92.0
212767,40.0
212768,49.0
212769,64.0
212772,38.0
212773,63.0
212774,32.0
212775,178.0
212776,10.0
212777,7.0
212778,50.0
212779,23.0
212782,55.0
212783,74.0
212787,196.0
212788,104.0
212789,63.0
212790,14.0
212792,80.0
212793,86.0
212794,127.0
212796,150.0
212797,86.0
212798,385.0
212799,27.0
212800,11.0
212802,97.0
212803,61.0
212805,53.0
212806,80.0
212807,106.0
212809,32.0
212812,36.0
212816,12.0
212817,23.0
212818,35.0
212819,23.0
212820,23.0
212821,30.0
212822,57.0
212823,23.0
212824,100.0
212825,14.0
212826,10.0
212828,37.0
212829,47.0
212830,27.0
212831,30.0
212832,48.0
212833,48.0
212834,28.0
212835,28.0
212837,7.0
212838,20.0
212839,31.0
212840,21.0
212843,54.0
212844,14.0
212845,68.0
212846,11.0
212849,59.0
212850,26.0
212853,29.0
212856,39.0
212857,23.0
212860,12.0
212861,40.0
212862,50.0
212863,10.0
212866,109.0
212867,39.0
212868,208.0
212869,29.0
212870,30.0
212872,43.0
212873,63.0
212874,33.0
212875,30.0
212876,46.0
212877,48.0
212879,17.0
212880,26.0
212881,26.0
212884,12.0
212885,31.0
212886,20.0
212888,21.0
212889,38.0
212890,17.0
212891,52.0
212892,18.0
212893,26.0
212896,38.0
212899,5.0
212900,10.0
212901,22.0
212902,15.0
212903,11.0
212905,37.0
212906,11.0
212907,40.0
212910,13.0
212911,13.0
212914,16.0
212915,114.0
212916,73.0
212917,31.0
212919,36.0
212920,53.0
212921,80.0
212924,76.0
212925,42.0
212926,279.0
212927,10.0
212929,68.0
212930,46.0
212931,14.0
212932,68.0
212933,82.0
212934,91.0
212935,12.0
212936,56.0
212937,68.0
212938,13.0
212940,42.0
212941,44.0
212942,31.0
212946,49.0
212947,55.0
212948,115.0
212949,40.0
212950,39.0
212951,27.0
212952,36.0
212954,64.0
212955,29.0
212956,28.0
212959,14.0
212960,21.0
212964,73.0
212965,26.0
212966,149.0
212967,19.0
212968,15.0
212969,29.0
212970,39.0
212971,24.0
212973,28.0
212974,33.0
212977,51.0
212978,57.0
212979,24.0
212981,20.0
212982,37.0
212983,40.0
212984,38.0
212985,44.0
212986,42.0
212987,111.0
212988,31.0
212989,216.0
212990,23.0
212991,18.0
212993,47.0
212994,56.0
212995,40.0
212996,45.0
212997,44.0
212998,76.0
212999,6.0
213001,14.0
213002,14.0
213006,15.0
213007,24.0
213011,30.0
213012,11.0
213013,50.0
213016,18.0
213017,14.0
213020,29.0
213021,163.0
213022,106.0
213023,70.0
213025,47.0
213026,45.0
213027,80.0
213031,111.0
213032,49.0
213033,276.0
213034,22.0
213035,16.0
213036,68.0
213037,52.0
213038,54.0
213039,22.0
213040,36.0
213041,80.0
213043,22.0
213048,128.0
213049,91.0
213050,36.0
213053,66.0
213054,63.0
213055,106.0
213056,41.0
213059,65.0
213060,47.0
213061,224.0
213064,70.0
213065,29.0
213066,41.0
213068,79.0
213069,88.0
213070,26.0
213072,63.0
213073,58.0
213074,31.0
213076,17.0
213077,33.0
213078,54.0
213079,25.0
213080,22.0
213081,33.0
213082,89.0
213083,28.0
213084,151.0
213085,30.0
213086,26.0
213087,34.0
213088,58.0
213089,29.0
213090,36.0
213091,53.0
213092,68.0
213093,5.0
213094,10.0
213096,15.0
213097,30.0
213098,21.0
213100,9.0
213101,21.0
213102,33.0
213103,26.0
213105,37.0
213106,50.0
213107,18.0
213108,67.0
213109,25.0
213110,37.0
213111,22.0
213113,39.0
213114,44.0
213115,6.0
213123,29.0
213127,74.0
213128,42.0
213129,23.0
213131,23.0
213132,41.0
213133,58.0
213135,57.0
213136,22.0
213137,119.0
213138,13.0
213140,36.0
213141,25.0
213142,44.0
213145,53.0
213147,9.0
213148,65.0
213149,31.0
213150,9.0
213151,21.0
213152,33.0
213153,10.0
213154,63.0
213155,24.0
213156,104.0
213157,18.0
213158,14.0
213159,32.0
213160,38.0
213161,28.0
213162,23.0
213163,30.0
213164,50.0
213167,11.0
213168,22.0
213169,203.0
213170,150.0
213171,83.0
213174,65.0
213175,71.0
213176,105.0
213179,37.0
213180,145.0
213181,67.0
213182,299.0
213183,34.0
213187,76.0
213188,55.0
213189,82.0
213191,45.0
213192,103.0
213194,23.0
213195,10.0
213197,9.0
213199,8.0
213200,23.0
213202,29.0
213204,59.0
213205,20.0
213206,62.0
213207,19.0
213208,75.0
213209,37.0
213215,90.0
213216,77.0
213217,49.0
213219,50.0
213220,50.0
213221,69.0
213225,61.0
213226,37.0
213227,202.0
213230,43.0
213231,31.0
213233,37.0
213235,83.0
213236,10.0
213238,121.0
213239,78.0
213240,32.0
213241,39.0
213242,40.0
213243,61.0
213245,75.0
213246,36.0
213247,253.0
213248,23.0
213249,14.0
213250,68.0
213251,38.0
213252,19.0
213254,45.0
213255,76.0
213256,5.0
213257,22.0
213260,11.0
213265,35.0
213268,10.0
213269,52.0
213270,49.0
213273,32.0
213275,38.0
213276,21.0
213278,8.0
213279,22.0
213280,52.0
213281,35.0
213282,17.0
213283,24.0
213285,119.0
213286,39.0
213287,155.0
213288,29.0
213289,23.0
213292,46.0
213293,41.0
213294,24.0
213296,55.0
213297,51.0
213301,26.0
213303,8.0
213304,15.0
213305,38.0
213306,30.0
213308,49.0
213309,52.0
213310,48.0
213311,23.0
213312,98.0
213314,8.0
213315,27.0
213316,26.0
213317,16.0
213320,178.0
213321,119.0
213322,27.0
213325,60.0
213326,62.0
213327,109.0
213330,35.0
213331,98.0
213332,40.0
213333,204.0
213334,12.0
213335,6.0
213336,67.0
213337,41.0
213338,19.0
213340,78.0
213341,76.0
213343,10.0
213346,212.0
213347,26.0
213348,8.0
213351,8.0
213352,38.0
213353,25.0
213354,22.0
213355,29.0
213356,29.0
213357,46.0
213358,21.0
213359,118.0
213360,9.0
213361,9.0
213363,46.0
213364,27.0
213365,32.0
213366,35.0
213367,45.0
213369,74.0
213370,63.0
213371,16.0
213372,15.0
213373,27.0
213374,46.0
213375,19.0
213376,21.0
213377,26.0
213378,65.0
213379,20.0
213380,112.0
213381,14.0
213382,13.0
213383,37.0
213384,50.0
213385,31.0
213387,31.0
213388,41.0
213390,11.0
213391,30.0
213392,30.0
213394,18.0
213395,46.0
213396,28.0
213399,64.0
213400,18.0
213401,102.0
213403,22.0
213404,27.0
213408,19.0
213409,7.0
213410,6.0
213411,12.0
213412,53.0
213413,46.0
213414,18.0
213415,14.0
213416,30.0
213417,31.0
213418,18.0
213419,12.0
213420,10.0
213421,59.0
213422,15.0
213423,123.0
213425,13.0
213426,32.0
213427,30.0
213428,22.0
213431,41.0
213432,8.0
213434,11.0
213435,63.0
213436,55.0
213437,29.0
213439,22.0
213440,30.0
213441,50.0
213444,50.0
213445,41.0
213446,25.0
213447,115.0
213448,42.0
213449,22.0
213454,61.0
213455,41.0
213456,26.0
213457,39.0
213458,45.0
213461,38.0
213462,27.0
213463,117.0
213466,36.0
213467,12.0
213471,14.0
213472,69.0
213473,39.0
213474,17.0
213476,30.0
213477,43.0
213478,45.0
213479,73.0
213480,42.0
213481,174.0
213484,36.0
213485,58.0
213486,17.0
213488,33.0
213489,39.0
213490,5.0
213491,24.0
213494,19.0
213495,16.0
213496,10.0
213497,19.0
213502,42.0
213503,20.0
213505,17.0
213506,42.0
213507,24.0
213510,36.0
213511,28.0
213512,7.0
213514,17.0
213516,47.0
213517,15.0
213518,90.0
213519,16.0
213520,13.0
213521,26.0
213522,31.0
213523,16.0
213526,25.0
213528,8.0
213530,35.0
213531,39.0
213532,20.0
213533,6.0
213535,13.0
213536,22.0
213537,36.0
213538,25.0
213540,28.0
213541,62.0
213542,22.0
213543,98.0
213545,7.0
213546,30.0
213547,48.0
213548,28.0
213550,32.0
213551,38.0
213554,16.0
213559,30.0
213560,17.0
213561,32.0
213562,38.0
213563,35.0
213564,53.0
213565,15.0
213566,81.0
213567,36.0
213568,27.0
213572,30.0
213573,24.0
213574,20.0
213575,7.0
213576,5.0
213577,22.0
213578,15.0
213579,21.0
213580,27.0
213581,64.0
213582,17.0
213583,95.0
213584,13.0
